id,  type,  attributes
1,  Robot Male,        Big Beard
2,  Male 2,            Birthday Hat / Bubble Gum
3,  Female 1,          Flowers / Frown / Gold Chain
4,  Demon Male,        Hoodie / Pipe
5,  Ape Male Blue,     Cowboy Hat / Buck Teeth
6,  Male 3,   Cowboy Hat / Laser Eyes
7,  Male 1,   Cap Burger King
8,  Vampire Male,        Demon Horns
9,  Female Orange,   Crown
10, Female 3,   Choker / Wild White Hair /  Mole / Big Shades / Frown / Cigarette
11,  Zombie Male,       Big Beard / Frown / Mole / 3D Glasses /  Earring
12,  Orc Male,       Beanie / VR / Clown Nose
13,  Female 4,   Pilot Helmet / Silver Chain / Clown Eyes Green
14,  Male Orange,   Beanie
15,  Male 4,   Police Cap / Regular Shades
16,  Male 4,   3D Glasses
17,  Demon Male,        Laser Eyes / Cigarette
18,  Male 4,   Buck Teeth  / Frown / Gold Chain / Knitted Cap / Earring / Mole / Cigarette
19,  Female 1,   Bow
20,  Zombie Ape Male,     Bubble Gum
21,  Alien Male Gold,   Top Hat / Silver Chain
22,  Male Blue,   Clown Hair Blue
23,  Female 2,   Rosy Cheeks / Tiara / Smile
24,  Male 1,   Medical Mask / Clown Nose / Hoodie
25,  Male 2,   Sombrero / Mustache
26,  Vampire Male,         Spots / Do-Rag / Bubble Gum
27,  Mummy Male,         Beanie
28,  Male 2,   Crazy Hair / Regular Shades / Cigar
29,  Zombie Male,         Hoodie / Gold Chain / Cigarette
30,  Male 2,   Jester Hat
31,  Male 1,   Cap Red
32,  Male 4,   Messy Hair / Laser Eyes
33,  Female 2,  Eye Patch / Hoodie
34,  Female 3,  Black Lipstick / Eye Mask / Choker
35,  Skeleton Male,         Eye Patch / Fedora
36,  Female 4,   Clown Hair Green / Classic Shades
37,  Male 1,   3D Glasses /  Buck Teeth / Cigarette
38,  Orc Female,         Blonde Bob
39,  Zombie Female,         Birthday Hat / VR
40,  Male 2,   Bandana / Laser Eyes
41,  Mummy Female,         Crown
42,  Demon Female,         Cigar / Choker
43,  Female 4,   Frumpy Hair / Nerd Glasses
44,  Female 1,   Cowboy Hat / Pipe
45,  Male 2,   Top Hat / Smile / Silver Chain
46,  Male Blue,   Cap Burger King  / Classic Shades
47,  Female Purple,  Clown Eyes Green / Blonde Bob
48,  Male Gold,    Cap Forward / Laser Eyes
49,  Female 3,   Blue Eyeshadow / Beanie / Earring
50,  Alien Ape Male,       Goat / Fedora
51,  Female Blue,   Blonde Short / Nerd Glasses
52,  Alien FemaleRed Magenta,  3D Glasses
53,  Demon Female,             Frumpy Hair / Clown Nose
54,  Male 3,   Do-Rag / Heart Shades
55,  Skeleton Female,           Bandana / Cigarette
56,  Female 2,   Earring / Mole / Cap / Smile
57,  Male 4,   Clown Nose / Top Hat
58,  Vampire Female,       Heart Shades
59,  Male Blue,   Cowboy Hat  / Pipe
60,  Male 1,   Crazy Hair / Clown Eyes Blue / Eye Mask
61,  Demon Female,             Blue Eyeshadow
62,  Male 2,   Beanie / Big Shades
63,  Zombie Female,             Frown
64,  Orc Female,             Mole / Frumpy Hair / Green Eye Shadow
65,  Male 1,   Frown / Do-Rag / Gold Chain / Classic Shades
66,  Ape Female,             Sombrero
67,  Alien Male Yellow,   Smile / Goat
68,  Female Gold,     Clown Hair Green / Choker
69,  Robot Female,             3D Glasses
70,  Male Orange,   Bandana / Chinstrap
71,  Female 3,   Green Eye Shadow / Top Hat
72,  Mummy Female,            Dark Hair
73,  Alien Female Violet,   Knitted Cap / Pipe
74,  Female Orange,   Cap Forward
75,  Demon Male,               Big Beard
76,  Robot Male,               Classic Shades / Cigarette
77,  Male 4,   Eye Mask / Silver Chain / Bandana / Clown Nose
78,  Zombie Male,               Hoodie / Pipe
79,  Male 3,   Earring / 3D Glasses
80,  Orc Male,
81,  Vampire Female,            Dark Hair
82,  Mummy Male,              Cowboy Hat  / Eye Mask
83,  Alien Male Green,   Clown Eyes Green
84,  Male 1,   Eye Mask / Chinstrap / Fedora
85,  Male 4,   Silver Chain / Cap Forward / Pipe / Demon Horns
86,  Skeleton Male,             Clown Eyes Green
87,  Female 3,   Do-Rag / Gold Chain
88,  Male 4,   Cap Forward  / 3D Glasses
89,  Zombie Female,            Cap / Earring / Green Eye Shadow / Cigar
90,  Vampire Male,              Demon Horns / Chinstrap
91,  Female 1,   Cowboy Hat / Green Eye Shadow / Black Lipstick / Choker
92,  Robot Male,              Crazy Hair
93,  Orc Male,              Eye Mask / Goat / Gold Chain
94,  Alien Ape Male,            Frumpy Hair / Eye Patch
95,  Female 3,   Clown Nose / Medical Mask / Cigarette
96,  Male Orange,   Big Beard /  Bandana / Classic Shades
97,  Alien Male Gold,   Beanie / 3D Glasses / Cigarette / Silver Chain / Mole
98,  Female Yellow,   Crown / Silver Chain
99,  Ape Male Gold,     Cap Forward / Earring / Medical Mask
100, Demon Male,   Cowboy Hat / Buck Teeth
